,Player,Nation,Pos_x,Squad,Age,MP,Starts,Min,90s,Gls,Ast,Height,Foot,Market Value,Year
0,Patrick van Aanholt,NED,DF,Crystal Palace,28,29,29,2507,27.9,3,2,176.0,left,7700000.0,2019.0
1,Max Aarons,ENG,DF,Norwich City,19,36,36,3240,36.0,0,1,171.0,right,22000000.0,2019.0
2,Tammy Abraham,ENG,FW,Chelsea,21,34,25,2215,24.6,15,3,190.0,right,41800000.0,2019.0
3,Adrián,ESP,GK,Liverpool,32,11,9,875,9.7,0,0,190.0,right,1100000.0,2019.0
4,Sergio Agüero,ARG,FW,Manchester City,31,24,18,1452,16.1,16,3,173.0,right,19800000.0,2019.0
5,Nathan Aké,NED,DF,Bournemouth,24,29,29,2503,27.8,2,2,180.0,left,35200000.0,2019.0
6,Nathan Aké,NED,DF,Bournemouth,24,29,29,2503,27.8,2,2,180.0,left,30800000.0,2019.0
7,Marc Albrighton,ENG,DF,Leicester City,29,20,9,867,9.6,0,3,175.0,right,4400000.0,2019.0
8,Toby Alderweireld,BEL,DF,Tottenham,30,33,33,2957,32.9,2,2,187.0,right,12100000.0,2019.0
9,Trent Alexander-Arnold,ENG,DF,Liverpool,20,38,35,3175,35.3,4,13,180.0,right,82500000.0,2019.0
10,Alisson,BRA,GK,Liverpool,26,29,29,2543,28.3,0,1,191.0,right,66000000.0,2019.0
11,Dele Alli,ENG,FW,Tottenham,23,25,21,1847,20.5,8,4,188.0,right,33000000.0,2019.0
12,Miguel Almirón,PAR,FW,Newcastle Utd,25,36,35,3021,33.6,4,2,174.0,left,17600000.0,2019.0
13,Marcos Alonso,ESP,DF,Chelsea,28,18,15,1430,15.9,4,2,189.0,left,13200000.0,2019.0
14,Steven Alzate,COL,DF,Brighton,20,19,12,1188,13.2,0,0,180.0,right,6600000.0,2019.0
15,Ibrahim Amadou,FRA,MF,Norwich City,26,11,8,759,8.4,0,0,183.0,right,6050000.0,2019.0
16,Felipe Anderson,BRA,FW,West Ham,26,25,20,1497,16.6,1,4,175.0,right,11000000.0,2019.0
17,Florin Andone,ROU,FW,Brighton,26,3,1,73,0.8,1,0,180.0,right,2200000.0,2019.0
18,Michail Antonio,JAM,FW,West Ham,29,24,19,1768,19.6,10,3,180.0,right,13200000.0,2019.0
19,Stuart Armstrong,SCO,MF,Southampton,27,30,19,1715,19.1,5,3,183.0,right,8800000.0,2019.0
