,Player,Age,MP,Starts,Min,90s,Gls,Ast,Height,Market Value,Year,Foot_both,Foot_left,Foot_right,Pos_x_DF,Pos_x_FW,Pos_x_GK,Pos_x_MF,Squad_OTHER,Squad_TOP_6,Nation_BRTSH,Nation_EU,Nation_WORLD
0,Patrick van Aanholt,28,29,29,2507,27.9,3,2,176.0,7700000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
1,Max Aarons,19,36,36,3240,36.0,0,1,171.0,22000000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
2,Tammy Abraham,21,34,25,2215,24.6,15,3,190.0,41800000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
3,Adrián,32,11,9,875,9.7,0,0,190.0,1100000.0,2019.0,0,0,1,0,0,1,0,0,1,0,1,0
4,Sergio Agüero,31,24,18,1452,16.1,16,3,173.0,19800000.0,2019.0,0,0,1,0,1,0,0,0,1,0,0,1
5,Nathan Aké,24,29,29,2503,27.8,2,2,180.0,35200000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
6,Nathan Aké,24,29,29,2503,27.8,2,2,180.0,30800000.0,2019.0,0,1,0,1,0,0,0,1,0,0,1,0
7,Marc Albrighton,29,20,9,867,9.6,0,3,175.0,4400000.0,2019.0,0,0,1,1,0,0,0,1,0,1,0,0
8,Toby Alderweireld,30,33,33,2957,32.9,2,2,187.0,12100000.0,2019.0,0,0,1,1,0,0,0,0,1,0,1,0
9,Trent Alexander-Arnold,20,38,35,3175,35.3,4,13,180.0,82500000.0,2019.0,0,0,1,1,0,0,0,0,1,1,0,0
10,Alisson,26,29,29,2543,28.3,0,1,191.0,66000000.0,2019.0,0,0,1,0,0,1,0,0,1,0,0,1
11,Dele Alli,23,25,21,1847,20.5,8,4,188.0,33000000.0,2019.0,0,0,1,0,1,0,0,0,1,1,0,0
12,Miguel Almirón,25,36,35,3021,33.6,4,2,174.0,17600000.0,2019.0,0,1,0,0,1,0,0,1,0,0,0,1
13,Marcos Alonso,28,18,15,1430,15.9,4,2,189.0,13200000.0,2019.0,0,1,0,1,0,0,0,0,1,0,1,0
14,Steven Alzate,20,19,12,1188,13.2,0,0,180.0,6600000.0,2019.0,0,0,1,1,0,0,0,1,0,0,0,1
15,Ibrahim Amadou,26,11,8,759,8.4,0,0,183.0,6050000.0,2019.0,0,0,1,0,0,0,1,1,0,0,1,0
16,Felipe Anderson,26,25,20,1497,16.6,1,4,175.0,11000000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
17,Florin Andone,26,3,1,73,0.8,1,0,180.0,2200000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
18,Michail Antonio,29,24,19,1768,19.6,10,3,180.0,13200000.0,2019.0,0,0,1,0,1,0,0,1,0,0,0,1
19,Stuart Armstrong,27,30,19,1715,19.1,5,3,183.0,8800000.0,2019.0,0,0,1,0,0,0,1,1,0,1,0,0
20,Kepa Arrizabalaga,24,33,33,2970,33.0,0,0,186.0,14300000.0,2019.0,0,0,1,0,0,1,0,0,1,0,1,0
